uuid	text	subsection
1f43b090-9c40-4c53-91d8-5135741954f5	List the methods all classes inherit from java.lang.Object	8.4.3
fcaba247-6c05-446e-8359-d2195ea9e38c	List the purpose or purposes of each punctuation character.	1.1.3
9a77ec7d-e6a9-42b8-bc21-2b7eb75de92b	List the rules of boolean algebra	4.4.2
7f8cd116-9db8-48c0-865c-ee91b9d8d52e	List the three kinds of control flow.	4.1.4
9d518b81-c137-45d5-bcc9-e3ed8b8ecb2e	List the three primitive data types we will use in this course.	2.1.1
7dc999e1-74c3-4fe5-9291-b9bb20eca36b	List the two kinds of attributes in classes.	9.3.2
133b2b8c-01c7-42d1-a7c0-ad069fb897c2	List three features of Java that provide data abstraction.	13.1.7
fefc1d21-bb1f-4c81-a65b-dc228b23246a	"Match ""selection"" with decisions and ""repetition"" with looping"	4.1.4
020c626c-4580-43bf-997e-f991e28eb5fe	Name all the punctuation characters used in Java.	1.1.3
ab95ea7e-75e2-46c5-8960-23ff0b0cbb03	Outline the difference between viewing a 2D array as a grid vs table	6.4.2
70e1c9e1-6a1f-4743-abb3-f51f1e0d6913	Properly format Java code. (By hand.)	1.1.3
6581e308-fdbb-4231-9bcb-a7d3f9acc806	Remove redundant comments from code	1.1.4
b0a1c72e-91f9-4e00-974c-36657036c3f5	Simplify boolean expressions (2 and 3 variables)	4.4.2
1d9a8d8b-72df-47bc-9e6f-6c2afe7c9b56	Simplify mutually-exclusive consecutive ifs into chained else ifs	4.2.3
4382d841-a64b-4e6d-9151-c60a66a48e77	Sketch diagram of how instances and classes relate in memory	8.1.1
c0870199-de97-448d-80ae-539b450b4f1c	State how to disambiguate a reference to a shadowed member variable	8.2.1
418bc867-a4d4-4085-94a8-e1ee281c5787	State the component type of a 2D array	6.4.1
46a49dd0-bdd9-4e69-9a60-83501468feae	State the condition for using binary search	12.1.3
d229b371-7bef-4d2f-9a7d-d45a6a1fab3c	State the import statement needed to use ArrayList	10.1.1
76a2f195-8d64-4c3f-96e2-ac930e0a6170	State the initial value of elements of an array constructed with new	6.1.2
aaa9c0e2-43a2-4da0-828e-778d0cf3e9de	State the name, return type, and argument types & names given a usage.	3.1.1
ab5e0639-5a47-4295-9c9b-bbfd81df8820	State the names and approximate values (and exact expression) of int max.	2.5.4
5aab9557-1f0d-417e-82ec-8ac8df8545da	State the number of rows & columns in a row-major 2D array	6.4.4
a3e6b87f-9b9b-40c7-8200-ab92051c8cc9	State the number of values in a 2D array	6.4.4
1299d65a-01d1-4cac-a1ab-bc58de7c898d	State the proper modifiers for a variable holding a constant value	9.3.4
a8dcfdf4-2d16-4338-952a-1133d1b345d8	State the purpose of constructor parameters.	8.3.1
9d199b14-28a1-4461-8bc5-b4ce67e1950c	State the relationship between the length of an array and its last valid index.	6.1.4
26c78085-b383-4138-9e4b-67e50248bcc6	State the relationship between the size() of an ArrayList and its last index	10.1.4
7f510ba7-cadd-49da-94a5-226eb33be419	State the two contexts where an array initializer may appear	6.1.2
2f7413b7-37fd-4d31-9cb8-2cc7b05ee9c7	State the two places you must use the names of wrapper types	10.2.1
ab994270-9072-4494-b956-85ec4d239a61	State the type of arithmetic expressions.	2.3.1
578541b7-0dde-438a-a05b-8ca7cd8f4dd1	State the type of expression using array access.	6.1.4
671763ce-5d45-4c2a-ab19-91a9a6270f2c	State the type of expressions involving method calls.	3.1.7
aadeeb54-3cd1-4a6b-ab73-d5313c67ac50	State the valid indexer of an array	6.1.4
c44ec26e-b4f2-4ceb-bca2-503267241b6d	State the value and type of mixed int/double expressions.	2.4.2
a30bed67-3875-4cdf-b1ef-0ea6d1084b9d	State the value of array access expressions	6.1.4
3b7570a3-6d8f-46fa-96f7-1abc9c0b7103	State the value of expressions involving truncating division.	2.3.1
f2a0af02-6ce8-4298-946f-b4190cd77b4c	State what constructor a class has that doesn't contain an explicit constructor	8.3.2
99d49db5-5459-487b-91e3-cc67dbb23aa4	State what happens if we divide an `int` value by zero.	2.3.3
774032d1-7140-453d-a1c7-d18057aaef64	State what happens if you add or remove items to or from an `ArrayList` while iterating over it with an enhanced `for` loop.	10.3.6
7ea71ae2-20d7-474e-a06b-82aba0c4e8f9	State what happens if you invoke an instance method on null.	8.2.3
ab09ee8c-29df-406c-a3d5-2f0bb5f2a8bb	State what happens if you try to use a negative index or one greater than or equal to the size of an `ArrayList` with `get` or `set`	10.1.4
0bf1e69d-84bd-4c2f-b1fa-3e20fcf26fe6	State what mystery recursive methods do.	12.3.5
14d0d4a5-2697-4e3d-be70-d7f1d4180998	State when a `while` loop will not run its body at all.	5.1.1
f9f236f7-c6bf-4079-a579-14fa962f72d9	"State when double contagion (""zombification"") occurs."	2.5.2
fbcddacd-3a38-4090-b035-cdac09ef9754	State when you might want an infinite loop	5.1.3
9f708d9b-57ef-446d-8a2b-02e7bb00ae51	State when you must use a regular for loop with an ArrayList	10.3.1
28d97886-e32f-4a69-8411-80a706f0fffa	State where you can use this as a variable	9.1.3
ac1c2697-9967-47da-8ffe-d91a72869221	State why the `Math` class can be used in any code.	3.3.1
efacbc6b-92ab-4b72-a2ae-62f159c5cd9d	State why we can use the String class anywhere.	2.2.2
5d29e344-b576-4d86-8bbc-2f3a344a90e2	Trace code that contains return statements	3.1.7
29fbc52e-8180-4da0-a39a-a282ff9e540c	Trace code that uses all three of sequencing, selection, and repetition.	4.1.4
d7660866-2beb-492e-8b30-394dec57ad9a	Trace code that uses nested `if` statements.	4.2.3
2eccd76f-1f2c-432f-8ed1-75d6336c79b2	Trace the evaluation of if, if/else, & if/else if/else statements	4.2.3
d2aeca50-d573-490f-8650-c31d197dbcef	Trace the execution of a for loop including the 3 header clauses	5.2.1
3284ce94-f10c-410f-8888-f2c8e6b983ba	Trace the execution of a nested loop.	5.5.2
4382f55e-b47d-4e37-9d78-28ca0cd920aa	Trace the execution of a while loop	5.1.2
ccfc9a22-9975-4c98-9c7f-7e44ff749957	Trace the execution of code involving method calls.	3.1.2
7373f41e-ce0c-49a2-923c-526d5da52681	Trace the flow of code containing calls to constructors.	8.3.1
8aba3490-639b-4515-b362-376477b6822b	Trace the order of evaluation of expressions & statements.	2.3.4
e0a704d4-00ac-4146-935d-45418c052106	Translate between regular and enhanced for loops	6.2.2
cb9aac7f-f39e-4c2e-8e54-4ed8d7ecf84c	Translate code between compound operators and not (incl. ++ & --)	2.4.3
ebeeec2d-a7fe-4a22-abc9-9a9f9a904925	Translate code that uses autoboxing/unboxing to explicit boxing.	10.2.1
8e576490-d728-40d0-8bc2-f0260df2dd7a	Translate iterative code to recursion	12.3.2
788e98d6-5f91-4258-901d-994256e588b4	Translate multi-way else if chains to mutually exclusive ifs	4.2.3
7a94bcf1-3d5c-4715-8a7c-748cf49a9af6	Translate while loops to equivalent for loops and vice versa.	5.2.2
71037e1b-ffa9-4936-9a49-b065e5e9eddf	Use casts to get mathematically appropriate answers.	2.5.1
d5b69206-9001-423e-a5b9-f52d95a7932d	Use comments to temporarily disable chunks of code.	1.1.4
ca6edbcc-3073-4c22-a3af-c337a752f2ad	Use constructor calls in contexts other than assignments.	9.1.2
874c0d24-dfb6-4d59-b762-fc16477bbdb9	Write a String accumulator loop	7.2.3
e386c282-320d-42cb-85c3-091a40e01b41	Write a `void` method.	3.1.3
ac4f8d0c-f1ad-4051-96b6-f474bcbf92b7	Write a canonical for loop that runs N times	5.2.1
16f25f04-9202-44cc-8b61-659e1cb4f597	Write a canonical reverse for loop that runs N times	5.2.3
0179a3c9-6fc3-4497-922c-3521a0b32233	Write a class based on an abstract description.	8.1.1
11fa50af-a037-40e8-a5fa-2d8374b67eed	Write a class that declares a `public final static` member variable.	9.3.4
be65fdd0-43e8-45d1-b1f4-eec4893ef008	Write a class with an overridden toString	8.4.3
